fbGroup, lat, lon 
Western MA Noise, 42.2649249835, -72.667204919, 2013-12-18T21:00:00-0500 
Western MA Noise, 42.2042, -72.6167, 2013-11-30T19:00:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-12-06T20:00:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-12-03T19:00:00-0500 
Western MA Noise, 42.3263404337, -72.5254933046, 2013-11-26T21:00:00-0500 
Western MA Noise, 42.2649249835, -72.667204919, 2013-11-20T21:00:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-11-22T19:45:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-11-22T19:45:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-11-22T19:45:00-0500 
Western MA Noise, 42.2042, -72.6167, 2013-11-30T19:00:00-0500 
Western MA Noise, 42.312182, -72.458513, 2013-11-10T20:00:00-0500 
Western MA Noise, 42.312182, -72.458513, 2013-11-10T20:00:00-0500 
Western MA Noise, 42.3263404337, -72.5254933046, 2013-10-31T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-10-22T20:00:00-0400 
Western MA Noise, 42.3263404337, -72.5254933046, 2013-10-31T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-10-08T19:30:00-0400 
Western MA Noise, 42.312182, -72.458513, 2013-10-06T20:00:00-0400 
Western MA Noise, 42.3193167093, -72.6278914073, 2013-09-19T21:45:00-0400 
Western MA Noise, 42.3193167093, -72.6278914073, 2013-09-19T21:45:00-0400 
Western MA Noise, 42.3193167093, -72.6278914073, 2013-09-19T21:45:00-0400 
Western MA Noise, 42.3772366689, -72.5200542293, 2013-09-19T19:05:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-09-17T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-09-12T19:00:00-0400 
Western MA Noise, 42.312182, -72.458513, 2013-08-31T20:00:00-0400 
Western MA Noise, 42.31766, -72.632473, 2013-08-27T16:00:00-0400 
Western MA Noise, 42.333961, -72.580757, 2013-08-26T19:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-08-24T19:00:00-0400 
Western MA Noise, 42.312182, -72.458513, 2013-08-31T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-08-23T19:00:00-0400 
Western MA Noise, 42.3181411065, -72.6307309923, 2013-08-16T17:00:00-0400 
Western MA Noise, 42.34269, -72.593307, 2013-08-19T20:00:00-0400 
Western MA Noise, 42.333961, -72.580757, 2013-08-26T19:00:00-0400 
Western MA Noise, 42.3074439329, -72.4329543413, 2013-08-10 
Western MA Noise, 42.3254949879, -72.6553292014, 2013-08-05T19:25:00-0400 
Western MA Noise, 42.333961, -72.580757, 2013-07-26T20:00:00-0400 
Western MA Noise, 42.3218153364, -72.631940172, 2013-07-26T21:30:00-0400 
Western MA Noise, 42.312182, -72.458513, 2013-08-02 
Western MA Noise, 42.3218153364, -72.631940172, 2013-08-12T22:00:00-0400 
Western MA Noise, 42.333961, -72.580757, 2013-07-21T20:00:00-0400 
Western MA Noise, 42.3367758855, -71.1515868566, 2013-07-12T20:00:00-0400 
Western MA Noise, 42.3218153364, -72.631940172, 2013-07-01T21:00:00-0400 
Western MA Noise, 42.3193167093, -72.6278914073, 2013-06-27T22:00:00-0400 
Western MA Noise, 42.499737, -72.331261, 2013-06-21T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-08-17T19:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-06-15T19:30:00-0400 
Western MA Noise, 42.3193167093, -72.6278914073, 2013-07-18T22:00:00-0400 
Western MA Noise, 42.5378619152, -72.5372509116, 2013-06-06T19:30:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-05-10T19:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-05-10T19:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-05-10T19:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-04-13T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-04-13T17:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-04-09T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-04-09T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-04-05T19:00:00-0400 
Western MA Noise, 42.3193167093, -72.6278914073, 2013-04-04T22:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-03-29T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-03-22T20:00:00-0400 
Western MA Noise, 42.3193167093, -72.6278914073, 2013-03-21T22:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-03-22T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-04-05T19:00:00-0400 
