Shuffle ID,Group ID,Post ID,https://www.facebook.com/Group ID_Post ID
1855,57795809271,10151997953929272,https://www.facebook.com/57795809271_10151997953929272
1142,57795809271,10152497621809272,https://www.facebook.com/57795809271_10152497621809272
464,57795809271,10150330354289272,https://www.facebook.com/57795809271_10150330354289272
980,57795809271,10151582666664272,https://www.facebook.com/57795809271_10151582666664272
474,57795809271,10152655888799272,https://www.facebook.com/57795809271_10152655888799272
1556,301986473149390,954108827937148,https://www.facebook.com/301986473149390_954108827937148
1255,57795809271,10151668160454272,https://www.facebook.com/57795809271_10151668160454272
1285,57795809271,10151917408704272,https://www.facebook.com/57795809271_10151917408704272
654,57795809271,10151826196294272,https://www.facebook.com/57795809271_10151826196294272
1859,57795809271,10152501102089272,https://www.facebook.com/57795809271_10152501102089272
1609,301986473149390,962805707067460,https://www.facebook.com/301986473149390_962805707067460
546,57795809271,10152104970674272,https://www.facebook.com/57795809271_10152104970674272
1632,57795809271,10152141692489272,https://www.facebook.com/57795809271_10152141692489272
1227,301986473149390,10152692350030783,https://www.facebook.com/301986473149390_10152692350030783
1527,301986473149390,942454889102542,https://www.facebook.com/301986473149390_942454889102542
927,57795809271,10151700802509272,https://www.facebook.com/57795809271_10151700802509272
44,57795809271,10151730527019272,https://www.facebook.com/57795809271_10151730527019272
986,57795809271,10152179760889272,https://www.facebook.com/57795809271_10152179760889272
1521,301986473149390,910601862287845,https://www.facebook.com/301986473149390_910601862287845
1882,57795809271,10151565979349272,https://www.facebook.com/57795809271_10151565979349272
1800,301986473149390,1565392420362543,https://www.facebook.com/301986473149390_1565392420362543
858,301986473149390,959198264094871,https://www.facebook.com/301986473149390_959198264094871
1214,57795809271,10152179529464272,https://www.facebook.com/57795809271_10152179529464272
1079,57795809271,10151120009084272,https://www.facebook.com/57795809271_10151120009084272
571,301986473149390,10152661758130783,https://www.facebook.com/301986473149390_10152661758130783
908,301986473149390,936760179672013,https://www.facebook.com/301986473149390_936760179672013
7,301986473149390,954108607937170,https://www.facebook.com/301986473149390_954108607937170
1479,301986473149390,958687520812612,https://www.facebook.com/301986473149390_958687520812612
1891,57795809271,10151293605929272,https://www.facebook.com/57795809271_10151293605929272
890,57795809271,10151255428519272,https://www.facebook.com/57795809271_10151255428519272
1626,57795809271,10151122353099272,https://www.facebook.com/57795809271_10151122353099272
1278,301986473149390,916042975077067,https://www.facebook.com/301986473149390_916042975077067
1777,57795809271,10152629340574272,https://www.facebook.com/57795809271_10152629340574272
1251,301986473149390,933808133300551,https://www.facebook.com/301986473149390_933808133300551
1679,57795809271,10151079540444272,https://www.facebook.com/57795809271_10151079540444272
948,301986473149390,945680022113362,https://www.facebook.com/301986473149390_945680022113362
135,57795809271,10151488084324272,https://www.facebook.com/57795809271_10151488084324272
1542,57795809271,10150874585624272,https://www.facebook.com/57795809271_10150874585624272
1727,57795809271,10151803072464272,https://www.facebook.com/57795809271_10151803072464272
982,301986473149390,908189499195748,https://www.facebook.com/301986473149390_908189499195748
532,301986473149390,921986154482749,https://www.facebook.com/301986473149390_921986154482749
831,57795809271,10152254503049272,https://www.facebook.com/57795809271_10152254503049272
661,57795809271,10152287945489272,https://www.facebook.com/57795809271_10152287945489272
484,301986473149390,960134857334545,https://www.facebook.com/301986473149390_960134857334545
1293,57795809271,10150330353994272,https://www.facebook.com/57795809271_10150330353994272
172,57795809271,10151429198579272,https://www.facebook.com/57795809271_10151429198579272
762,301986473149390,921046131243418,https://www.facebook.com/301986473149390_921046131243418
29,57795809271,10151155030829272,https://www.facebook.com/57795809271_10151155030829272
1210,57795809271,10151841814204272,https://www.facebook.com/57795809271_10151841814204272
759,301986473149390,942692559078775,https://www.facebook.com/301986473149390_942692559078775
1105,57795809271,10152204556524272,https://www.facebook.com/57795809271_10152204556524272
826,301986473149390,954511414563556,https://www.facebook.com/301986473149390_954511414563556
1617,301986473149390,928105893870775,https://www.facebook.com/301986473149390_928105893870775
441,57795809271,10151433108794272,https://www.facebook.com/57795809271_10151433108794272
179,301986473149390,957377710943593,https://www.facebook.com/301986473149390_957377710943593
1005,301986473149390,962362147111816,https://www.facebook.com/301986473149390_962362147111816
209,57795809271,10152346576139272,https://www.facebook.com/57795809271_10152346576139272
330,57795809271,10151723162624272,https://www.facebook.com/57795809271_10151723162624272
584,57795809271,10150330354179272,https://www.facebook.com/57795809271_10150330354179272
1620,301986473149390,931982853483079,https://www.facebook.com/301986473149390_931982853483079
657,57795809271,10151022445454272,https://www.facebook.com/57795809271_10151022445454272
139,301986473149390,955117094502988,https://www.facebook.com/301986473149390_955117094502988
1287,301986473149390,959957550685609,https://www.facebook.com/301986473149390_959957550685609
1634,57795809271,10151590131434272,https://www.facebook.com/57795809271_10151590131434272
1919,301986473149390,10152671538520783,https://www.facebook.com/301986473149390_10152671538520783
801,57795809271,10151054717444272,https://www.facebook.com/57795809271_10151054717444272
